Date,Hour,Toronto,weekday
2003-06-02,7,5467,1
2003-06-02,8,5764,1
2003-06-02,9,6016,1
2003-06-02,10,6222,1
2003-06-02,11,6352,1
2003-06-02,12,6330,1
2003-06-02,13,6327,1
2003-06-02,14,6323,1
2003-06-02,15,6302,1
2003-06-02,16,6309,1
2003-06-02,17,6217,1
2003-06-02,18,6024,1
2003-06-02,19,5951,1
2003-06-02,20,5920,1
2003-06-02,21,5984,1
2003-06-02,22,5602,1
2003-06-02,23,5045,1
2003-06-02,24,4649,1
2003-06-03,1,4401,1
2003-06-03,2,4257,1
2003-06-03,3,4182,1
2003-06-03,4,4171,1
2003-06-03,5,4277,1
2003-06-03,6,4683,1
2003-06-03,7,5324,1
2003-06-03,8,5717,1
2003-06-03,9,5917,1
2003-06-03,10,6083,1
2003-06-03,11,6151,1
2003-06-03,12,6155,1
2003-06-03,13,6179,1
2003-06-03,14,6171,1
2003-06-03,15,6150,1
2003-06-03,16,6157,1
2003-06-03,17,6083,1
2003-06-03,18,5969,1
2003-06-03,19,5790,1
2003-06-03,20,5815,1
2003-06-03,21,5823,1
2003-06-03,22,5456,1
2003-06-03,23,4925,1
2003-06-03,24,4536,1
2003-06-04,1,4306,1
2003-06-04,2,4167,1
2003-06-04,3,4105,1
2003-06-04,4,4118,1
2003-06-04,5,4244,1
2003-06-04,6,4616,1
2003-06-04,7,5331,1
2003-06-04,8,5753,1
2003-06-04,9,5953,1
2003-06-04,10,6122,1
2003-06-04,11,6214,1
2003-06-04,12,6213,1
2003-06-04,13,6264,1
2003-06-04,14,6304,1
2003-06-04,15,6343,1
2003-06-04,16,6430,1
2003-06-04,17,6463,1
2003-06-04,18,6407,1
2003-06-04,19,6259,1
2003-06-04,20,6207,1
2003-06-04,21,6043,1
2003-06-04,22,5618,1
2003-06-04,23,5071,1
2003-06-04,24,4677,1
2003-06-05,1,4445,1
2003-06-05,2,4305,1
2003-06-05,3,4189,1
2003-06-05,4,4194,1
2003-06-05,5,4350,1
2003-06-05,6,4770,1
2003-06-05,7,5520,1
2003-06-05,8,5953,1
2003-06-05,9,6146,1
2003-06-05,10,6282,1
2003-06-05,11,6410,1
2003-06-05,12,6408,1
2003-06-05,13,6408,1
2003-06-05,14,6364,1
2003-06-05,15,6363,1
2003-06-05,16,6418,1
2003-06-05,17,6376,1
2003-06-05,18,6236,1
2003-06-05,19,6144,1
2003-06-05,20,6093,1
2003-06-05,21,6056,1
2003-06-05,22,5678,1
2003-06-05,23,5127,1
2003-06-05,24,4712,1
